Item,ORIGEN PROVEEDOR,PROVEEDOR CCIAL,Estado,COMPRAS
203442, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
150516, ,9999 - OTROS,Activo,0002 - NO
254029,0001 - NACIONAL,0166 - VIFA,Inactivo,0002 - NO
254490,0001 - NACIONAL,0166 - VIFA,Inactivo,0002 - NO
256149,0001 - NACIONAL,0033 - CILES,Bloqueado,0002 - NO
256180,0001 - NACIONAL,0033 - CILES,Inactivo,0002 - NO
256727,0001 - NACIONAL,0033 - CILES,Inactivo,0002 - NO
256784,0001 - NACIONAL,0033 - CILES,Bloqueado,0002 - NO
256818,0001 - NACIONAL,0033 - CILES,Bloqueado,0002 - NO
257014,0001 - NACIONAL,0033 - CILES,Bloqueado,0002 - NO
257055,0001 - NACIONAL,0033 - CILES,Bloqueado,0002 - NO
257113,0001 - NACIONAL,0033 - CILES,Inactivo,0002 - NO
3338,0001 - NACIONAL,0069 - GRICOL,Bloqueado,0002 - NO
3376,0002 - IMPORTADO,0223 - STANLEY BLACK & DECKER,Bloqueado,0002 - NO
3384,0001 - NACIONAL,0091 - INVESA,Bloqueado,0002 - NO
3418,0001 - NACIONAL,0075 - HERRAGRO,Inactivo,0002 - NO
3434,0001 - NACIONAL,0069 - GRICOL,Bloqueado,0002 - NO
3447,0001 - NACIONAL,0069 - GRICOL,Bloqueado,0002 - NO
3455,0001 - NACIONAL,0069 - GRICOL,Bloqueado,0002 - NO
91070, ,9999 - OTROS,Activo,0002 - NO
91088, ,9999 - OTROS,Activo,0002 - NO
91098, ,9999 - OTROS,Activo,0002 - NO
55131, ,9999 - OTROS,Bloqueado,0002 - NO
138065, ,9999 - OTROS,Activo,0002 - NO
139220, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
45892,0001 - NACIONAL,0193 - ILUMAX,Activo,0002 - NO
39156,0001 - NACIONAL,0193 - ILUMAX,Activo,0002 - NO
11766,0001 - NACIONAL,0080 - IMPOFER,Inactivo,0002 - NO
42136,0001 - NACIONAL,0216 - GBS,Bloqueado,0002 - NO
42898,0001 - NACIONAL,0165 - VERA,Bloqueado,0002 - NO
91286, ,9999 - OTROS,Activo,0002 - NO
91294, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
91304, ,9999 - OTROS,Activo,0002 - NO
92004, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
92013, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
92028, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
92034, ,0223 - STANLEY BLACK & DECKER,Activo,0002 - NO
